StudentID,Gender,Grade,Internet Access,Maths,Science,English,History,Computer,Attendance(%),Recommendation
S00036,Male,10,Yes,61,73,62,50,78,81,Needs Improvement
S00037,Female,12,No,85,90,96,83,100,100,Eligible for Advanced Courses
S00038,Male,10,Yes,60,44,49,54,33,92,High Risk of Failure
S00039,Male,9,Yes,53,56,61,40,72,100,Needs Improvement
S00040,Male,9,No,60,59,49,53,59,85,Needs Improvement
S00041,Male,10,Yes,91,77,93,64,86,86,Eligible for Advanced Courses
S00042,Male,12,Yes,75,77,70,69,92,90,Eligible for Advanced Courses
S00043,Female,10,Yes,68,65,64,62,60,88,Needs Improvement
S00044,Female,12,Yes,85,82,78,86,81,79,Needs Improvement
S00045,Male,9,Yes,70,76,72,72,89,90,Eligible for Advanced Courses
S00046,Male,10,Yes,81,84,77,78,94,85,Eligible for Advanced Courses
S00047,Male,12,Yes,94,93,100,100,100,76,Needs Improvement
S00048,Male,12,No,70,74,64,76,78,91,Needs Improvement
S00049,Male,9,Yes,67,62,54,62,72,76,Needs Improvement
S00050,Male,9,No,65,56,49,54,66,79,Needs Improvement
S00051,Male,12,Yes,100,95,90,84,100,88,Eligible for Advanced Courses
S00052,Female,9,Yes,72,79,82,91,85,82,Needs Improvement
S00053,Female,11,Yes,69,68,64,58,74,91,Needs Improvement
S00054,Female,10,Yes,100,100,85,97,100,89,Eligible for Advanced Courses
S00055,Male,9,Yes,61,62,45,56,62,100,Needs Improvement
S00056,Female,10,Yes,87,83,69,67,88,86,Eligible for Advanced Courses
S00057,Male,9,Yes,100,93,79,100,100,71,Needs Improvement
S00058,Male,12,Yes,49,52,48,44,63,97,Needs Improvement
S00059,Male,9,Yes,68,70,67,54,57,74,Needs Improvement
S00060,Female,11,Yes,77,89,77,84,87,97,Eligible for Advanced Courses
S00061,Male,11,Yes,98,100,99,100,95,100,Eligible for Advanced Courses
S00062,Female,12,Yes,81,84,71,83,100,91,Eligible for Advanced Courses
S00063,Male,9,Yes,86,71,61,73,87,100,Eligible for Advanced Courses
S00064,Male,9,Yes,41,35,41,39,37,84,High Risk of Failure
S00065,Male,11,No,54,60,43,53,55,79,Needs Improvement
S00066,Female,11,Yes,63,66,55,77,74,77,Needs Improvement
S00067,Female,9,Yes,73,73,73,74,73,78,Needs Improvement
S00068,Male,10,Yes,55,59,71,73,69,79,Needs Improvement
S00069,Male,11,Yes,94,84,73,67,68,90,Eligible for Advanced Courses
S00070,Female,10,Yes,55,59,49,69,76,87,Needs Improvement
S00071,Female,11,No,95,90,100,93,89,84,Needs Improvement
S00072,Male,12,No,52,63,47,44,69,83,Needs Improvement
S00073,Female,10,Yes,60,59,58,52,71,78,Needs Improvement
S00074,Female,9,Yes,64,66,69,67,64,84,Needs Improvement
S00075,Male,9,No,75,86,74,83,81,85,Eligible for Advanced Courses
S00076,Male,12,Yes,43,44,31,42,31,66,High Risk of Failure
S00077,Male,11,Yes,51,54,43,46,69,84,Needs Improvement
S00078,Male,11,Yes,78,86,88,61,80,79,Needs Improvement
S00079,Female,10,No,73,68,67,65,88,90,Needs Improvement
S00080,Male,10,No,76,76,90,76,79,87,Eligible for Advanced Courses
S00081,Male,11,Yes,100,98,100,92,84,87,Eligible for Advanced Courses
S00082,Female,9,No,39,41,48,38,44,74,High Risk of Failure
S00083,Female,11,Yes,43,46,30,45,50,93,High Risk of Failure
S00084,Male,10,Yes,92,81,77,72,77,80,Needs Improvement
S00085,Female,11,No,62,60,60,59,77,93,Needs Improvement
S00086,Female,11,Yes,62,64,64,67,62,79,Needs Improvement
S00087,Female,9,Yes,97,100,85,82,82,93,Eligible for Advanced Courses
S00088,Male,11,Yes,86,88,74,99,93,99,Eligible for Advanced Courses
S00089,Female,11,Yes,86,85,73,82,100,86,Eligible for Advanced Courses
S00090,Male,12,No,97,95,94,95,100,98,Eligible for Advanced Courses
S00091,Male,12,Yes,90,88,78,74,100,68,Needs Improvement
S00092,Male,11,Yes,47,51,60,46,43,85,High Risk of Failure
S00093,Female,11,Yes,54,67,61,67,91,82,Needs Improvement
S00094,Female,11,Yes,66,85,67,67,77,96,Needs Improvement
S00095,Female,10,Yes,68,68,65,62,69,86,Needs Improvement
S00096,Female,10,Yes,76,56,72,73,53,86,Needs Improvement
S00097,Male,11,Yes,59,62,53,73,80,81,Needs Improvement
S00098,Female,12,Yes,81,84,85,73,99,97,Eligible for Advanced Courses
S00099,Female,10,Yes,70,68,58,69,60,82,Needs Improvement
S00100,Female,9,No,82,85,69,85,86,91,Eligible for Advanced Courses
S00101,Female,10,No,83,79,71,86,79,79,Needs Improvement
S00102,Male,10,No,54,47,40,37,55,100,High Risk of Failure
S00103,Male,12,Yes,89,90,81,83,97,84,Needs Improvement
S00104,Male,12,Yes,51,48,41,42,55,67,High Risk of Failure
S00105,Male,9,Yes,60,54,57,42,74,79,Needs Improvement
S00106,Female,9,Yes,82,86,80,60,70,89,Eligible for Advanced Courses
S00107,Male,12,Yes,73,67,67,61,70,78,Needs Improvement
S00108,Female,12,Yes,47,49,57,43,85,70,Needs Improvement
S00109,Female,12,No,72,80,67,72,100,89,Eligible for Advanced Courses
S00110,Female,12,Yes,86,89,97,80,100,84,Needs Improvement
S00111,Female,12,Yes,69,71,66,50,64,92,Needs Improvement
S00112,Male,11,Yes,74,71,56,68,82,82,Needs Improvement
S00113,Male,10,Yes,94,93,85,74,100,90,Eligible for Advanced Courses
S00114,Male,10,Yes,71,72,80,72,89,87,Eligible for Advanced Courses
S00115,Female,12,Yes,78,70,69,65,74,85,Needs Improvement
S00116,Female,9,No,72,81,63,68,75,81,Needs Improvement
S00117,Female,12,Yes,85,72,77,81,85,99,Eligible for Advanced Courses
S00118,Female,12,Yes,75,79,60,60,87,95,Needs Improvement
S00119,Male,12,Yes,67,68,55,58,64,100,Needs Improvement
S00120,Male,12,Yes,71,77,58,71,72,77,Needs Improvement
S00121,Female,10,No,77,84,78,81,90,84,Needs Improvement
S00122,Male,12,Yes,65,64,59,58,84,100,Needs Improvement
S00123,Male,12,Yes,64,70,59,68,75,99,Needs Improvement
S00124,Male,11,Yes,100,88,83,88,99,69,Needs Improvement
S00125,Female,11,Yes,99,96,85,89,100,91,Eligible for Advanced Courses
S00126,Female,11,No,70,69,73,82,69,100,Needs Improvement
S00127,Male,11,Yes,90,96,86,79,98,80,Needs Improvement
S00128,Male,9,No,91,93,91,93,100,96,Eligible for Advanced Courses
S00129,Male,10,Yes,80,70,72,66,79,83,Needs Improvement
S00130,Male,10,Yes,79,72,79,78,100,97,Eligible for Advanced Courses
S00131,Female,10,Yes,76,82,69,72,86,81,Needs Improvement
S00132,Male,10,No,67,71,54,62,64,86,Needs Improvement
S00133,Male,11,Yes,50,55,59,47,52,96,Needs Improvement
S00134,Female,12,No,44,57,47,43,67,100,Needs Improvement
S00135,Male,9,Yes,58,69,64,59,88,87,Needs Improvement
S00136,Male,9,Yes,43,46,43,40,55,74,High Risk of Failure
S00137,Female,9,Yes,90,96,88,88,100,72,Needs Improvement
S00138,Female,12,Yes,90,84,83,78,100,89,Eligible for Advanced Courses
S00139,Female,10,Yes,97,90,93,88,100,78,Needs Improvement
S00140,Female,12,Yes,54,61,42,48,76,78,Needs Improvement
S00141,Female,11,No,76,81,76,68,100,92,Eligible for Advanced Courses
S00142,Male,11,No,72,73,52,65,70,93,Needs Improvement
S00143,Female,12,Yes,74,68,56,64,84,74,Needs Improvement
S00144,Female,10,Yes,73,80,74,77,87,94,Eligible for Advanced Courses
S00145,Female,11,Yes,74,68,77,58,90,95,Needs Improvement
S00146,Female,9,Yes,61,61,61,62,62,86,Needs Improvement
S00147,Male,12,Yes,100,100,95,95,100,84,Needs Improvement
S00148,Female,12,Yes,57,67,45,57,86,74,Needs Improvement
S00149,Female,10,Yes,48,52,53,38,62,72,Needs Improvement
S00150,Female,11,Yes,74,73,54,75,88,84,Needs Improvement
S00151,Female,11,Yes,79,78,67,67,81,78,Needs Improvement
S00152,Female,10,Yes,82,88,59,87,72,96,Eligible for Advanced Courses
S00153,Male,10,Yes,48,60,46,52,59,81,Needs Improvement
S00154,Female,11,No,68,80,66,59,76,89,Needs Improvement
S00155,Female,10,Yes,88,88,83,99,99,100,Eligible for Advanced Courses
S00156,Male,11,Yes,90,88,83,84,94,89,Eligible for Advanced Courses
S00157,Female,10,Yes,79,75,71,56,90,92,Needs Improvement
S00158,Male,9,Yes,74,99,82,91,83,88,Eligible for Advanced Courses
S00159,Female,11,Yes,55,68,52,55,72,91,Needs Improvement
S00160,Female,9,No,78,88,71,72,91,89,Eligible for Advanced Courses
S00161,Male,9,Yes,97,88,100,81,100,96,Eligible for Advanced Courses
S00162,Female,9,No,71,71,67,75,79,77,Needs Improvement
S00163,Female,10,Yes,92,80,85,86,88,82,Needs Improvement
S00164,Female,11,No,75,73,69,61,65,98,Needs Improvement
S00165,Female,9,Yes,59,54,55,50,86,100,Needs Improvement
S00166,Male,10,Yes,76,70,58,43,93,95,Needs Improvement
S00167,Male,10,Yes,49,56,48,43,55,71,Needs Improvement
S00168,Female,12,Yes,88,87,81,76,88,93,Eligible for Advanced Courses
S00169,Male,10,Yes,61,60,62,71,80,68,Needs Improvement
S00170,Female,9,Yes,58,48,46,52,48,69,Needs Improvement
S00171,Male,12,Yes,50,54,37,51,58,86,Needs Improvement
S00172,Male,11,No,84,78,69,73,88,90,Eligible for Advanced Courses
S00173,Male,11,Yes,70,70,58,80,66,85,Needs Improvement
S00174,Female,12,Yes,64,58,63,50,67,78,Needs Improvement
S00175,Female,11,Yes,94,100,99,97,100,76,Needs Improvement
S00176,Male,9,No,72,77,83,64,64,83,Needs Improvement
S00177,Female,9,Yes,95,100,100,91,100,84,Needs Improvement
S00178,Male,11,Yes,70,68,59,62,64,100,Needs Improvement
S00179,Male,12,Yes,62,53,58,62,46,85,Needs Improvement
S00180,Female,10,No,86,100,90,82,96,88,Eligible for Advanced Courses
S00181,Female,9,Yes,78,71,71,60,79,90,Needs Improvement
S00182,Female,9,No,65,64,58,46,60,75,Needs Improvement
S00183,Female,11,Yes,90,80,75,71,85,97,Eligible for Advanced Courses
S00184,Male,12,Yes,87,79,68,65,93,83,Needs Improvement
S00185,Male,12,No,39,49,32,37,42,73,High Risk of Failure
S00186,Male,12,Yes,85,87,83,76,100,84,Needs Improvement
S00187,Female,12,Yes,63,56,56,55,76,83,Needs Improvement
S00188,Male,11,Yes,77,80,72,68,65,89,Needs Improvement
S00189,Female,12,Yes,62,64,60,63,69,74,Needs Improvement
S00190,Male,10,Yes,65,70,69,41,86,89,Needs Improvement
S00191,Male,9,Yes,94,100,91,88,94,100,Eligible for Advanced Courses
S00192,Male,12,No,66,66,60,64,82,81,Needs Improvement
S00193,Female,12,No,40,58,38,46,46,94,High Risk of Failure
S00194,Male,12,Yes,79,72,52,66,84,66,Needs Improvement
S00195,Male,9,Yes,71,74,67,59,88,70,Needs Improvement
S00196,Female,11,No,67,69,60,65,94,83,Needs Improvement
S00197,Male,11,Yes,51,43,34,46,43,71,High Risk of Failure
S00198,Female,10,Yes,85,98,78,87,95,100,Eligible for Advanced Courses
S00199,Female,12,Yes,100,96,98,90,100,98,Eligible for Advanced Courses
S00200,Male,10,Yes,68,61,56,71,66,86,Needs Improvement
S00201,Female,9,Yes,83,81,79,67,68,74,Needs Improvement
S00202,Female,12,No,71,79,71,70,99,100,Eligible for Advanced Courses
S00203,Male,12,No,85,86,90,83,95,78,Needs Improvement
S00204,Female,9,No,66,65,51,79,64,95,Needs Improvement
S00205,Female,9,Yes,69,72,68,58,71,82,Needs Improvement
S00206,Male,9,Yes,77,72,70,69,86,87,Needs Improvement
S00207,Female,12,Yes,55,50,45,52,71,86,Needs Improvement
S00208,Female,11,Yes,86,78,90,76,65,85,Eligible for Advanced Courses
S00209,Female,9,Yes,87,84,74,67,83,92,Eligible for Advanced Courses
S00210,Female,10,Yes,64,69,59,48,71,76,Needs Improvement
S00211,Male,9,Yes,66,67,56,66,70,96,Needs Improvement
S00212,Male,9,Yes,58,64,53,67,61,89,Needs Improvement
S00213,Female,11,Yes,80,78,71,91,87,87,Eligible for Advanced Courses
S00214,Female,10,Yes,69,76,78,78,86,100,Eligible for Advanced Courses
S00215,Female,10,Yes,88,82,74,79,88,95,Eligible for Advanced Courses
S00216,Male,12,Yes,86,82,87,68,85,80,Needs Improvement
S00217,Male,12,No,42,41,48,42,37,77,High Risk of Failure
S00218,Male,9,Yes,98,94,84,88,100,100,Eligible for Advanced Courses
S00219,Female,12,Yes,97,94,95,82,100,100,Eligible for Advanced Courses
S00220,Female,10,No,57,67,56,52,41,83,Needs Improvement
S00221,Male,10,Yes,100,96,90,97,94,84,Needs Improvement
S00222,Female,11,Yes,91,84,78,74,82,88,Eligible for Advanced Courses
S00223,Female,11,Yes,82,73,83,70,82,82,Needs Improvement
S00224,Male,12,No,38,37,30,30,44,77,High Risk of Failure
S00225,Male,11,Yes,64,53,57,45,69,69,Needs Improvement
S00226,Female,10,Yes,54,44,37,44,64,84,High Risk of Failure
S00227,Male,11,Yes,72,74,46,63,67,74,Needs Improvement
S00228,Male,11,Yes,42,59,58,35,51,85,High Risk of Failure
S00229,Male,10,Yes,100,96,93,100,98,91,Eligible for Advanced Courses
S00230,Female,11,No,58,63,69,60,65,77,Needs Improvement
S00231,Female,11,Yes,53,48,42,66,56,82,Needs Improvement
S00232,Male,12,No,69,64,49,65,62,77,Needs Improvement
S00233,Male,12,No,91,100,89,94,100,100,Eligible for Advanced Courses
S00234,Female,9,Yes,65,58,52,48,49,76,Needs Improvement
S00235,Female,11,Yes,61,68,55,59,55,100,Needs Improvement
S00236,Female,11,Yes,76,77,84,70,79,89,Eligible for Advanced Courses
S00237,Male,11,No,69,66,64,72,62,86,Needs Improvement
S00238,Male,12,No,95,85,86,100,100,96,Eligible for Advanced Courses
S00239,Female,9,Yes,66,65,55,54,63,75,Needs Improvement
S00240,Female,12,Yes,92,100,99,96,94,75,Needs Improvement
S00241,Male,12,Yes,69,75,60,77,74,89,Needs Improvement
S00242,Female,10,No,76,80,69,78,69,87,Needs Improvement
S00243,Female,12,No,94,96,98,96,100,86,Eligible for Advanced Courses
S00244,Female,10,Yes,89,85,77,83,100,89,Eligible for Advanced Courses
S00245,Female,9,No,63,57,37,58,57,83,Needs Improvement
S00246,Female,9,Yes,78,81,69,76,80,84,Needs Improvement
S00247,Male,12,Yes,79,89,75,84,93,92,Eligible for Advanced Courses
S00248,Male,9,Yes,72,74,67,74,62,100,Needs Improvement
S00249,Male,10,Yes,58,62,47,47,59,74,Needs Improvement
S00250,Male,10,No,63,67,60,58,77,96,Needs Improvement
S00251,Male,9,Yes,71,65,73,79,78,57,Needs Improvement
S00252,Male,11,Yes,100,100,100,95,88,94,Eligible for Advanced Courses
S00253,Male,10,Yes,70,58,55,58,64,82,Needs Improvement
S00254,Male,11,Yes,69,64,53,58,72,100,Needs Improvement
S00255,Male,12,Yes,54,60,45,61,66,80,Needs Improvement
S00256,Female,12,Yes,60,65,68,45,70,70,Needs Improvement
S00257,Male,12,Yes,83,78,75,71,98,83,Needs Improvement
S00258,Male,11,Yes,99,96,84,82,89,85,Eligible for Advanced Courses
S00259,Male,12,No,73,85,72,77,100,87,Eligible for Advanced Courses
S00260,Male,12,Yes,66,60,61,64,66,93,Needs Improvement
S00261,Male,11,Yes,72,70,69,71,67,83,Needs Improvement
S00262,Female,11,Yes,75,79,72,77,83,99,Eligible for Advanced Courses
S00263,Female,12,Yes,70,76,71,69,80,78,Needs Improvement
S00264,Male,10,Yes,59,59,46,62,55,66,Needs Improvement
S00265,Female,11,No,78,90,68,83,97,94,Eligible for Advanced Courses
S00266,Male,11,Yes,90,93,88,85,100,78,Needs Improvement
S00267,Female,10,Yes,55,40,51,51,42,92,High Risk of Failure
S00268,Male,9,Yes,53,53,55,59,73,80,Needs Improvement
S00269,Female,10,Yes,59,64,69,74,60,79,Needs Improvement
S00270,Female,9,Yes,72,66,68,62,75,79,Needs Improvement
S00271,Female,9,No,72,74,68,67,77,90,Needs Improvement
S00272,Female,9,Yes,84,89,78,89,94,100,Eligible for Advanced Courses
S00273,Female,10,No,71,73,65,75,100,83,Needs Improvement
S00274,Female,9,Yes,89,78,78,76,85,100,Eligible for Advanced Courses
S00275,Female,9,Yes,55,69,52,61,91,83,Needs Improvement
S00276,Female,9,Yes,30,37,40,30,42,75,High Risk of Failure
S00277,Female,11,Yes,83,62,66,68,85,80,Needs Improvement
S00278,Male,12,Yes,75,78,70,76,78,85,Eligible for Advanced Courses
S00279,Male,9,Yes,79,73,56,77,69,88,Needs Improvement
S00280,Female,12,Yes,68,51,78,64,69,78,Needs Improvement
S00281,Female,9,No,79,80,75,72,80,84,Needs Improvement
S00282,Male,9,Yes,75,72,43,69,76,83,Needs Improvement
S00283,Female,12,Yes,72,71,56,64,62,84,Needs Improvement
S00284,Male,11,Yes,63,64,57,59,69,71,Needs Improvement
S00285,Female,11,Yes,81,81,80,77,85,78,Needs Improvement
S00286,Male,9,Yes,71,74,65,65,79,95,Needs Improvement
S00287,Male,11,Yes,56,67,60,55,77,77,Needs Improvement
S00288,Female,12,Yes,47,47,40,52,54,94,High Risk of Failure
S00289,Male,11,Yes,45,35,37,38,60,82,High Risk of Failure
S00290,Male,12,Yes,30,39,33,30,30,71,High Risk of Failure
S00291,Female,12,Yes,63,63,63,75,69,93,Needs Improvement
S00292,Female,11,Yes,61,67,42,62,77,79,Needs Improvement
S00293,Female,11,Yes,87,87,79,83,100,76,Needs Improvement
S00294,Male,12,Yes,58,53,49,52,74,76,Needs Improvement
S00295,Female,11,Yes,80,75,74,70,84,87,Eligible for Advanced Courses
S00296,Male,9,Yes,33,41,36,36,51,79,High Risk of Failure
S00297,Male,11,Yes,72,74,75,79,79,85,Eligible for Advanced Courses
S00298,Male,10,Yes,74,64,50,62,64,80,Needs Improvement
S00299,Male,10,Yes,66,76,66,66,80,79,Needs Improvement
S00300,Male,12,Yes,84,88,72,69,98,73,Needs Improvement
S00301,Female,11,No,56,65,47,66,56,88,Needs Improvement
S00302,Male,12,Yes,72,67,63,65,64,91,Needs Improvement
S00303,Female,11,Yes,66,62,44,61,96,92,Needs Improvement
S00304,Male,11,Yes,73,74,93,61,90,92,Eligible for Advanced Courses
S00305,Male,9,Yes,88,85,85,85,87,92,Eligible for Advanced Courses
S00306,Female,9,Yes,80,66,57,68,78,79,Needs Improvement
S00307,Male,11,Yes,75,84,60,66,80,86,Needs Improvement
S00308,Male,12,Yes,73,65,61,51,64,68,Needs Improvement
S00309,Female,9,Yes,73,69,54,63,77,81,Needs Improvement
S00310,Male,12,No,94,95,86,93,100,96,Eligible for Advanced Courses
S00311,Male,11,Yes,72,75,63,84,63,94,Needs Improvement
S00312,Female,11,Yes,100,99,92,93,100,86,Eligible for Advanced Courses
S00313,Female,9,Yes,81,87,81,88,78,62,Needs Improvement
S00314,Female,11,Yes,93,100,90,97,100,89,Eligible for Advanced Courses
S00315,Male,11,Yes,87,77,78,64,73,78,Needs Improvement
S00316,Female,11,No,98,94,91,82,100,89,Eligible for Advanced Courses
S00317,Female,10,Yes,66,69,60,63,94,93,Needs Improvement
S00318,Female,12,Yes,63,70,60,57,84,82,Needs Improvement
S00319,Male,9,Yes,58,73,58,68,53,99,Needs Improvement
S00320,Female,9,Yes,60,57,45,49,69,93,Needs Improvement
S00321,Male,11,No,91,74,88,77,78,86,Eligible for Advanced Courses
S00322,Male,10,Yes,70,65,71,50,70,71,Needs Improvement
S00323,Male,9,Yes,78,72,51,70,83,72,Needs Improvement
S00324,Male,12,Yes,87,96,96,75,100,89,Eligible for Advanced Courses
S00325,Male,12,Yes,71,67,60,65,64,79,Needs Improvement
S00326,Male,12,Yes,74,83,78,62,78,74,Needs Improvement
S00327,Female,10,Yes,59,63,62,54,60,96,Needs Improvement
S00328,Female,10,Yes,100,100,89,89,100,99,Eligible for Advanced Courses
S00329,Female,12,Yes,98,87,97,83,96,89,Eligible for Advanced Courses
S00330,Female,10,No,100,100,93,98,100,87,Eligible for Advanced Courses
S00331,Male,11,Yes,99,100,98,96,100,81,Needs Improvement
S00332,Female,9,Yes,57,64,62,60,84,78,Needs Improvement
S00333,Male,11,Yes,77,80,82,83,84,84,Needs Improvement
S00334,Female,10,No,48,54,48,48,55,84,Needs Improvement
S00335,Male,12,No,66,65,61,54,46,85,Needs Improvement
S00336,Female,9,Yes,64,72,61,71,79,95,Needs Improvement
S00337,Female,9,Yes,80,55,46,50,41,91,Needs Improvement
S00338,Male,10,Yes,51,51,61,49,79,89,Needs Improvement
S00339,Female,10,Yes,40,51,39,36,52,79,High Risk of Failure
S00340,Male,9,Yes,98,89,76,83,98,90,Eligible for Advanced Courses
S00341,Male,12,Yes,57,55,50,45,58,75,Needs Improvement
S00342,Female,9,Yes,88,74,71,67,81,75,Needs Improvement
S00343,Female,9,Yes,46,45,47,46,48,84,High Risk of Failure
S00344,Male,10,Yes,63,73,69,51,78,86,Needs Improvement
S00345,Male,11,Yes,62,65,45,46,73,93,Needs Improvement
S00346,Male,11,Yes,83,83,67,84,98,87,Eligible for Advanced Courses
S00347,Male,12,No,63,74,70,86,87,82,Needs Improvement
S00348,Female,9,Yes,75,80,74,76,81,81,Needs Improvement
S00349,Male,9,Yes,82,76,92,89,76,83,Needs Improvement
S00350,Female,10,Yes,68,68,60,56,65,91,Needs Improvement
S00351,Male,12,No,57,53,57,62,56,75,Needs Improvement
S00352,Male,10,Yes,83,81,81,79,73,87,Eligible for Advanced Courses
S00353,Female,9,Yes,84,68,88,82,100,93,Eligible for Advanced Courses
S00354,Female,11,Yes,58,67,65,59,85,100,Needs Improvement
S00355,Female,11,Yes,76,87,88,68,78,71,Needs Improvement
S00356,Female,11,No,69,69,71,64,67,93,Needs Improvement
S00357,Male,11,Yes,86,97,86,86,100,80,Needs Improvement
S00358,Female,12,Yes,87,80,73,69,79,88,Eligible for Advanced Courses
S00359,Female,11,No,89,89,94,95,100,100,Eligible for Advanced Courses
S00360,Male,12,Yes,71,70,49,63,66,82,Needs Improvement
S00361,Male,11,Yes,100,98,100,98,100,86,Eligible for Advanced Courses
S00362,Female,11,Yes,94,100,88,98,95,91,Eligible for Advanced Courses
S00363,Male,12,Yes,71,71,73,62,64,80,Needs Improvement
S00364,Female,9,Yes,64,77,63,51,65,72,Needs Improvement
S00365,Female,10,No,92,90,100,97,96,95,Eligible for Advanced Courses
S00366,Female,9,Yes,34,36,36,30,40,90,High Risk of Failure
S00367,Female,11,Yes,69,71,61,73,87,75,Needs Improvement
S00368,Male,12,No,65,71,67,86,66,82,Needs Improvement
S00369,Male,10,Yes,93,100,89,89,96,99,Eligible for Advanced Courses
S00370,Female,10,No,89,100,86,82,97,97,Eligible for Advanced Courses
S00371,Female,9,Yes,69,70,70,49,68,97,Needs Improvement
S00372,Female,10,No,89,82,90,82,84,87,Eligible for Advanced Courses
S00373,Female,10,Yes,65,57,69,72,79,78,Needs Improvement
S00374,Female,10,No,66,69,66,56,72,73,Needs Improvement
S00375,Male,11,Yes,99,99,91,100,100,89,Eligible for Advanced Courses
S00376,Female,11,No,94,89,82,88,100,76,Needs Improvement
S00377,Male,11,Yes,86,83,74,79,72,86,Eligible for Advanced Courses
S00378,Male,10,Yes,98,95,90,87,97,88,Eligible for Advanced Courses
S00379,Female,11,Yes,50,55,39,56,60,81,Needs Improvement
S00380,Male,9,Yes,70,60,67,62,76,95,Needs Improvement
S00381,Female,12,Yes,58,51,54,41,69,73,Needs Improvement
S00382,Male,10,No,80,73,76,74,76,72,Needs Improvement
S00383,Female,12,Yes,42,32,35,33,52,74,High Risk of Failure
S00384,Male,10,Yes,70,68,64,65,56,81,Needs Improvement
S00385,Male,9,Yes,79,83,79,78,92,92,Eligible for Advanced Courses
S00386,Male,11,No,86,96,97,91,100,99,Eligible for Advanced Courses
S00387,Female,9,Yes,94,98,88,88,94,100,Eligible for Advanced Courses
S00388,Female,10,Yes,72,67,50,62,49,100,Needs Improvement
S00389,Male,10,Yes,85,88,96,79,82,91,Eligible for Advanced Courses
S00390,Male,11,No,100,100,100,89,100,99,Eligible for Advanced Courses
S00391,Male,9,Yes,100,95,100,91,100,97,Eligible for Advanced Courses
S00392,Female,10,Yes,100,99,95,92,100,88,Eligible for Advanced Courses
S00393,Male,12,No,61,54,58,54,83,59,Needs Improvement
S00394,Female,12,Yes,69,70,62,66,67,100,Needs Improvement
S00395,Female,11,Yes,81,74,80,69,86,73,Needs Improvement
S00396,Male,12,Yes,77,72,68,68,72,93,Needs Improvement
S00397,Female,10,Yes,46,47,42,42,53,83,High Risk of Failure
S00398,Female,12,Yes,84,81,75,78,88,89,Eligible for Advanced Courses
S00399,Male,11,Yes,48,52,50,42,52,77,High Risk of Failure
S00400,Female,10,Yes,65,72,52,62,77,75,Needs Improvement
S00401,Female,12,Yes,100,94,94,82,100,86,Eligible for Advanced Courses
S00402,Male,11,No,81,83,74,91,85,76,Needs Improvement
S00403,Male,10,Yes,92,91,87,71,91,100,Eligible for Advanced Courses
S00404,Female,11,Yes,67,74,81,78,79,93,Eligible for Advanced Courses
S00405,Female,12,No,61,65,76,63,72,94,Needs Improvement
S00406,Female,9,Yes,100,100,93,97,89,82,Needs Improvement
S00407,Female,11,Yes,60,54,50,48,58,99,Needs Improvement
S00408,Female,10,No,67,57,59,66,62,79,Needs Improvement
